INSTNM,CITY,STABBR,ZIP,ACCREDAGENCY,INSTURL,NPCURL,SCH_DEG,HCM2,MAIN,NUMBRANCH,PREDDEG,HIGHDEG,CONTROL,ST_FIPS,REGION,LOCALE,LOCALE2,LATITUDE,LONGITUDE,COSTT4_A,COSTT4_P,TUITIONFEE_IN,TUITIONFEE_OUT,TUITIONFEE_PROG,TUITFTE,MN_EARN_WNE_P10,MD_EARN_WNE_P10,SCHTYPE
Alabama A & M University,Normal,AL,35762,Southern Association of Colleges and Schools Commission on Colleges,www.aamu.edu/,www.aamu.edu/admissions-aid/tuition-fees/net-price-calculator.html,3,0,1,1,3,4,1,1,5,12,NULL,34.783368,-86.568502,22489,NULL,9744,18354,NULL,7413,35500,31000,1
University of Alabama at Birmingham,Birmingham,AL,35294-0110,Southern Association of Colleges and Schools Commission on Colleges,https://www.uab.edu,https://uab.studentaidcalculator.com/survey.aspx,3,0,1,1,3,4,1,1,5,12,NULL,33.505697,-86.799345,24347,NULL,8568,19704,NULL,13177,48400,41200,1
Amridge University,Montgomery,AL,36117-3553,Southern Association of Colleges and Schools Commission on Colleges,www.amridgeuniversity.edu,www2.amridgeuniversity.edu:9091/,3,0,1,1,3,4,2,1,5,12,NULL,32.362609,-86.17401,17680,NULL,6900,6900,NULL,14273,47600,39600,2
University of Alabama in Huntsville,Huntsville,AL,35899,Southern Association of Colleges and Schools Commission on Colleges,www.uah.edu,finaid.uah.edu/,3,0,1,1,3,4,1,1,5,12,NULL,34.724557,-86.640449,23441,NULL,10714,22362,NULL,8677,52000,46700,1
Alabama State University,Montgomery,AL,36104-0271,Southern Association of Colleges and Schools Commission on Colleges,www.alasu.edu,www.alasu.edu/cost-aid/tuition-costs/net-price-calculator,3,0,1,1,3,4,1,1,5,12,NULL,32.364317,-86.295677,21476,NULL,11068,19396,NULL,10160,30600,27700,1
The University of Alabama,Tuscaloosa,AL,35487-0100,Southern Association of Colleges and Schools Commission on Colleges,www.ua.edu/,financialaid.ua.edu/net-price-calculator/,3,0,1,1,3,4,1,1,5,12,NULL,33.211875,-87.545978,29424,NULL,10780,29230,NULL,14198,51600,44500,1
Central Alabama Community College,Alexander City,AL,35010,Southern Association of Colleges and Schools Commission on Colleges,www.cacc.edu,https://www.cacc.edu/net-price-calculator/,2,0,1,1,1,2,1,1,5,32,NULL,32.92478,-85.945266,8824,NULL,4740,8610,NULL,1771,32400,27700,1
Auburn University at Montgomery,Montgomery,AL,36117-3596,Southern Association of Colleges and Schools Commission on Colleges,www.aum.edu,www.aum.edu/current-students/financial-information/net-price-calculator,3,0,1,1,3,4,1,1,5,12,NULL,32.36736,-86.177544,18291,NULL,8404,17812,NULL,7582,38000,33300,1
Auburn University,Auburn,AL,36849,Southern Association of Colleges and Schools Commission on Colleges,www.auburn.edu,https://www.auburn.edu/admissions/costcalc/freshman.html,3,0,1,1,3,4,1,1,5,13,NULL,32.599378,-85.488258,31282,NULL,11276,30524,NULL,15908,56300,48800,1
Birmingham-Southern College,Birmingham,AL,35254,Southern Association of Colleges and Schools Commission on Colleges,www.bsc.edu/,www.bsc.edu/fp/np-calculator.cfm,3,0,1,1,3,3,2,1,5,12,NULL,33.513774,-86.850552,52176,NULL,17650,17650,NULL,11383,53100,46700,2
Chattahoochee Valley Community College,Phenix City,AL,36869,Southern Association of Colleges and Schools Commission on Colleges,www.cv.edu,www.cv.edu/about/consumer-information/,2,0,1,1,2,2,1,1,5,41,NULL,32.42391,-85.031485,8750,NULL,4738,8608,NULL,2036,31300,28900,1
South University-Montgomery,Montgomery,AL,36116,Southern Association of Colleges and Schools Commission on Colleges,"www.southuniversity.edu/montgomery#location=Montgomery,%20AL",www.southuniversity.edu/montgomery/net-price-calculator,3,0,0,13,3,4,3,1,5,12,NULL,32.342684,-86.216488,29309,NULL,17014,17014,NULL,11386,40200,33400,3
Enterprise State Community College,Enterprise,AL,36330-1300,Southern Association of Colleges and Schools Commission on Colleges,www.escc.edu,https://www.escc.edu/netprice/npcalc.htm,2,0,1,1,2,2,1,1,5,32,NULL,31.297496,-85.836956,9262,NULL,4740,8610,NULL,2315,42700,31800,1
Coastal Alabama Community College,Bay Minette,AL,36507-2698,Southern Association of Colleges and Schools Commission on Colleges,www.coastalalabama.edu,www.coastalalabama.edu/about/consumer_information/net_price_calculator/,2,0,1,1,2,2,1,1,5,32,NULL,30.851343,-87.778193,12008,NULL,4740,8610,NULL,2524,33900,29100,1
Faulkner University,Montgomery,AL,36109-3390,Southern Association of Colleges and Schools Commission on Colleges,www.faulkner.edu,www.faulkner.edu/net-price-calculator/,3,0,1,1,3,4,2,1,5,12,NULL,32.384181,-86.21641,33944,NULL,21690,21690,NULL,11044,40700,35400,2
Gadsden State Community College,Gadsden,AL,35903,Southern Association of Colleges and Schools Commission on Colleges,www.gadsdenstate.edu,www.gadsdenstate.edu/admissions-aid/net-price-calculator.cms,1,0,1,1,2,2,1,1,5,13,NULL,33.994001,-85.991438,10098,NULL,3840,7056,NULL,1940,30200,26700,1
George C Wallace Community College-Dothan,Dothan,AL,36303-9234,Southern Association of Colleges and Schools Commission on Colleges,www.wallace.edu,www.wallace.edu/net_price_calculator.aspx,2,0,1,1,2,2,1,1,5,13,NULL,31.315274,-85.465836,9564,NULL,4680,8550,NULL,2179,29800,24700,1
George C Wallace State Community College-Hanceville,Hanceville,AL,35077-2000,Southern Association of Colleges and Schools Commission on Colleges,www.wallacestate.edu,www.wallacestate.edu/Financial-Aid/Net-Price-Calculator,2,0,1,1,2,2,1,1,5,32,NULL,34.072439,-86.781935,10252,NULL,4740,8610,NULL,2845,34800,32200,1
George C Wallace State Community College-Selma,Selma,AL,36703-2808,Southern Association of Colleges and Schools Commission on Colleges,www.wccs.edu,img.wccs.edu/files/finaid/NetPriceCalculator%20(6)/npcalc.htm,2,0,1,1,2,2,1,1,5,32,NULL,32.445917,-87.013294,13788,NULL,4440,8310,NULL,1538,27300,23300,1
Herzing University-Birmingham,Birmingham,AL,35209,Higher Learning Commission,https://www.herzing.edu/,https://www.herzing.edu/tuition-financial-aid/net-price-calculator,2,0,0,10,1,4,2,1,5,21,NULL,33.468466,-86.832465,26128,NULL,14000,14000,NULL,13723,41600,37800,2
Huntingdon College,Montgomery,AL,36106-2148,Southern Association of Colleges and Schools Commission on Colleges,www.huntingdon.edu,hawk.huntingdon.edu/oiac/netpricecalculator/index.html,3,0,1,1,3,3,2,1,5,12,NULL,32.351034,-86.284366,35685,NULL,27400,27400,NULL,11149,43600,39900,2
J. F. Drake State Community and Technical College,Huntsville,AL,35811,Southern Association of Colleges and Schools Commission on Colleges,https://www.drakestate.edu,https://www.drakestate.edu/Content/Uploads/Drake%20State%20Community%20College/files/Admissions/net%20price%20calculator.html,1,0,1,1,1,2,1,1,5,12,NULL,34.771858,-86.572885,11123,NULL,4710,8580,NULL,1599,27600,23800,1
Jacksonville State University,Jacksonville,AL,36265,Southern Association of Colleges and Schools Commission on Colleges,www.jsu.edu/,www.jsu.edu/finaid/,3,0,1,1,3,4,1,1,5,23,NULL,33.822938,-85.765321,20050,NULL,8760,16536,NULL,6509,38100,35800,1
Jefferson State Community College,Birmingham,AL,35215-3098,Southern Association of Colleges and Schools Commission on Colleges,www.jeffersonstate.edu/,www.jeffersonstate.edu/financial-aid/net-price-calculator/,2,0,1,1,2,2,1,1,5,12,NULL,33.652535,-86.707233,13284,NULL,4800,8670,NULL,3111,33800,30600,1
John C Calhoun State Community College,Tanner,AL,35671,Southern Association of Colleges and Schools Commission on Colleges,https://calhoun.edu,https://calhoun.edu/student-services/financial-aid/net-price-calculator/,2,0,1,1,2,2,1,1,5,41,NULL,34.645844,-86.949674,9848,NULL,4820,8690,NULL,3537,32200,28000,1
Judson College,Marion,AL,36756,Southern Association of Colleges and Schools Commission on Colleges,www.judson.edu,www.judson.edu/net-price-calculator/,3,0,1,1,3,3,2,1,5,43,NULL,32.629253,-87.315206,31735,NULL,18510,18510,NULL,8288,29300,26100,2
Lawson State Community College,Birmingham,AL,35221-1717,Southern Association of Colleges and Schools Commission on Colleges,www.lawsonstate.edu,www.lawsonstate.edu/disclosure_and_consumer_information/general_institutional_information/net_price_calculator.aspx,1,0,1,1,1,2,1,1,5,12,NULL,33.450814,-86.888844,13735,NULL,4740,8610,NULL,1449,26600,23400,1
University of West Alabama,Livingston,AL,35470,Southern Association of Colleges and Schools Commission on Colleges,www.uwa.edu,secure.uwa.edu/calculator/,3,0,1,1,3,4,1,1,5,43,NULL,32.588132,-88.186329,20692,NULL,10040,18490,NULL,7929,40400,37400,1
Lurleen B Wallace Community College,Andalusia,AL,36420-1418,Southern Association of Colleges and Schools Commission on Colleges,https://www.lbwcc.edu,https://www.lbwcc.edu/financial-aid/net-price-calculator,2,0,1,1,1,2,1,1,5,41,NULL,31.322947,-86.452262,14136,NULL,4740,8610,NULL,1975,32000,26500,1
Marion Military Institute,Marion,AL,36756-3207,Southern Association of Colleges and Schools Commission on Colleges,www.marionmilitary.edu,marionmilitary.edu/calculator/,2,0,1,1,2,2,1,1,5,43,NULL,32.623734,-87.322041,18568,NULL,9418,15418,NULL,2016,49800,42700,1
Miles College,Fairfield,AL,35064-2621,Southern Association of Colleges and Schools Commission on Colleges,www.miles.edu,https://miles.studentaidcalculator.com/survey.aspx,3,0,1,1,3,3,2,1,5,21,NULL,33.482442,-86.908751,22828,NULL,12132,12132,NULL,4728,29500,26500,2
University of Mobile,Mobile,AL,36613-2842,Southern Association of Colleges and Schools Commission on Colleges,www.umobile.edu,umobile.edu/financial-aid/cost-calculator/,3,0,1,1,3,4,2,1,5,41,NULL,30.793247,-88.128934,35463,NULL,23230,23230,NULL,10177,38700,35200,2
University of Montevallo,Montevallo,AL,35115-6000,Southern Association of Colleges and Schools Commission on Colleges,www.montevallo.edu,https://www.montevallo.edu/NetPriceCalculator/,3,0,1,1,3,4,1,1,5,21,NULL,33.10625,-86.865099,24411,NULL,12760,25780,NULL,8343,36100,34200,1
Northwest-Shoals Community College,Muscle Shoals,AL,35661,Southern Association of Colleges and Schools Commission on Colleges,https://www.nwscc.edu,www.nwscc.edu/about-nw-scc/college-departments/student-services/financial-aid/future-students-financial-aid-calculator,2,0,1,1,1,2,1,1,5,13,NULL,34.739788,-87.678089,12255,NULL,4711,8581,NULL,2721,30800,25600,1
University of North Alabama,Florence,AL,35632-0001,Southern Association of Colleges and Schools Commission on Colleges,www.una.edu,studentnpc.collegeboard.org/,3,0,1,1,3,4,1,1,5,13,NULL,34.806738,-87.681361,18712,NULL,10142,18452,NULL,7591,42800,37800,1
Northeast Alabama Community College,Rainsville,AL,35986,Southern Association of Colleges and Schools Commission on Colleges,https://www.nacc.edu,https://www.nacc.edu/Content/Uploads/nacc.edu/files/Financial%20Aid/net-price-calc/npcalc.htm,1,0,1,1,2,2,1,1,5,42,NULL,34.545471,-85.911664,8840,NULL,4740,8610,NULL,2053,31700,27900,1
Oakwood University,Huntsville,AL,35896,Southern Association of Colleges and Schools Commission on Colleges,https://www2.oakwood.edu,https://oakwood.studentaidcalculator.com,3,0,1,1,3,4,2,1,5,12,NULL,34.756344,-86.652705,36361,NULL,19732,19732,NULL,14766,37400,29700,2
Reid State Technical College,Evergreen,AL,36401,Council on Occupational Education,www.rstc.edu,images.pcmac.org/Uploads/ReidStateTech/ReidStateTech/Divisions/DocumentsCategories/Documents/index_%7BSIS703AD5AB07EA%7D.html,1,0,1,1,1,2,1,1,5,41,NULL,31.460265,-86.964797,8958,NULL,4800,8670,NULL,1639,26800,22000,1
Bishop State Community College,Mobile,AL,36603-5898,Southern Association of Colleges and Schools Commission on Colleges,www.bishop.edu,https://www.bishop.edu/calculator/index.htm,1,0,1,1,1,2,1,1,5,12,NULL,30.693972,-88.056982,10155,NULL,4740,8610,NULL,1695,28300,22800,1
Samford University,Birmingham,AL,35229-2240,Southern Association of Colleges and Schools Commission on Colleges,www.samford.edu,https://samford.studentaidcalculator.com/survey.aspx,3,0,1,1,3,4,2,1,5,21,NULL,33.464128,-86.791799,46474,NULL,31650,31650,NULL,19266,59800,49900,2
Shelton State Community College,Tuscaloosa,AL,35405-8522,Southern Association of Colleges and Schools Commission on Colleges,www.sheltonstate.edu,apps.sheltonstate.edu/netpricecalculator/npcalc.htm,2,0,1,1,2,2,1,1,5,12,NULL,33.120531,-87.56148,12070,NULL,4467,8907,NULL,2510,31100,27100,1
Snead State Community College,Boaz,AL,35957-0734,Southern Association of Colleges and Schools Commission on Colleges,www.snead.edu,www.snead.edu/financial_aid/net_price_calculator.aspx,2,0,1,1,2,2,1,1,5,32,NULL,34.201495,-86.169897,11073,NULL,4800,8670,NULL,2830,30700,27800,1
University of South Alabama,Mobile,AL,36688-0002,Southern Association of Colleges and Schools Commission on Colleges,www.southalabama.edu,www.southalabama.edu/departments/finaid/netpricecalculator/,3,0,1,1,3,4,1,1,5,12,NULL,30.696033,-88.178711,19835,NULL,8396,16292,NULL,9364,46800,37800,1
Spring Hill College,Mobile,AL,36608-1791,Southern Association of Colleges and Schools Commission on Colleges,www.shc.edu,https://shc.studentaidcalculator.com/survey.aspx,3,0,1,1,3,4,2,1,5,12,NULL,30.694751,-88.138199,51969,NULL,39464,39464,NULL,12357,51300,45100,2
Stillman College,Tuscaloosa,AL,35401,Southern Association of Colleges and Schools Commission on Colleges,https://stillman.edu,https://stillman.edu/admissions/cost-of-attendance/,3,0,1,1,3,3,2,1,5,12,NULL,33.200006,-87.585278,21314,NULL,11092,11092,NULL,7563,33700,28200,2
Talladega College,Talladega,AL,35160,Southern Association of Colleges and Schools Commission on Colleges,www.talladega.edu,www.talladega.edu/netcalc/npcalc.htm,3,0,1,1,3,3,2,1,5,32,NULL,33.433472,-86.112704,22514,NULL,13571,13571,NULL,8315,23900,21900,2
H Councill Trenholm State Community College,Montgomery,AL,36108-3199,Southern Association of Colleges and Schools Commission on Colleges,www.trenholmstate.edu,www.trenholmstate.edu/net-price-calculator/,1,0,1,1,1,2,1,1,5,12,NULL,32.350109,-86.343057,12383,NULL,4650,8520,NULL,2293,28000,23100,1
Troy University,Troy,AL,36082-0001,Southern Association of Colleges and Schools Commission on Colleges,www.troy.edu,www.troy.edu/net-price-calculator/index-030119.html,3,0,1,4,3,4,1,1,5,33,NULL,31.800672,-85.957094,19180,NULL,8908,16708,NULL,9399,41100,37000,1
Tuskegee University,Tuskegee,AL,36088-1920,Southern Association of Colleges and Schools Commission on Colleges,www.tuskegee.edu,www.tuskegee.edu,3,0,1,1,3,4,2,1,5,32,NULL,32.4309,-85.708492,39383,NULL,22170,22170,NULL,15883,42200,35500,2
Bevill State Community College,Jasper,AL,35501,Southern Association of Colleges and Schools Commission on Colleges,www.bscc.edu,www.bscc.edu/Content/Uploads/bscc.edu/files/BSCCNetPriceCalculator.html,2,0,1,1,1,2,1,1,5,32,NULL,33.836929,-87.266406,13681,NULL,5086,9214,NULL,2534,31300,28100,1
University of Alaska Anchorage,Anchorage,AK,99508,Northwest Commission on Colleges and Universities,www.uaa.alaska.edu,www.uaa.alaska.edu/financialaid/customcf/npcalc.htm,3,0,1,1,3,4,1,2,8,11,NULL,61.190163,-149.82619,19942,NULL,8580,24762,NULL,7253,51200,45400,1
University of Alaska Fairbanks,Fairbanks,AK,99775,Northwest Commission on Colleges and Universities,www.uaf.edu,uaf.edu/finaid/costs/net-price-calculator.php,3,0,1,1,3,4,1,2,8,23,NULL,64.85756,-147.823146,18510,NULL,6657,20218,NULL,8210,45100,38700,1
University of Alaska Southeast,Juneau,AK,99801-8697,Northwest Commission on Colleges and Universities,www.uas.alaska.edu,www.uas.alaska.edu/financial_aid/costs/npcalc.htm,3,0,1,1,1,4,1,2,8,33,NULL,58.384846,-134.638255,16853,NULL,7092,19856,NULL,7626,39500,36000,1
Alaska Pacific University,Anchorage,AK,99508,Northwest Commission on Colleges and Universities,www.alaskapacific.edu,https://npc.collegeboard.org/student/app/alaskapacific,3,0,1,1,3,4,2,2,8,11,NULL,61.190968,-149.804168,34990,NULL,20760,20760,NULL,13127,45300,40200,2
Charter College,Vancouver,WA,98683-7575,Accrediting Bureau of Health Education Schools,https://www.chartercollege.edu,https://chartercollege.studentaidcalculator.com/survey.aspx,1,0,1,1,1,4,3,53,8,12,NULL,45.617798,-122.494766,35613,NULL,22655,22655,NULL,5823,46400,39800,3
CollegeAmerica-Flagstaff,Flagstaff,AZ,86001,Accrediting Commission of Career Schools and Colleges,www.collegeamerica.edu,https://www.collegeamerica.edu/net-price-calculator,2,0,1,3,2,2,2,4,6,13,NULL,35.194495,-111.657673,32164,NULL,16972,16972,NULL,13124,26400,23900,2
Arizona State University-Tempe,Tempe,AZ,85287,Higher Learning Commission,www.asu.edu/,https://students.asu.edu/financialaid/net-price,3,0,1,11,3,4,1,4,6,12,NULL,33.417721,-111.934383,25621,NULL,10822,28336,NULL,20364,55500,47700,1
Arizona Western College,Yuma,AZ,85365-8834,Higher Learning Commission,www.azwestern.edu,https://schedule.azwestern.edu/npcalc/index.html,1,0,1,1,1,2,1,4,6,13,NULL,32.689306,-114.495968,15407,NULL,2720,9710,NULL,904,32000,27700,1
University of Arizona,Tucson,AZ,85721-0066,Higher Learning Commission,https://www.arizona.edu,https://arizona.studentaidcalculator.com/survey.aspx,3,0,1,2,3,4,1,4,6,11,NULL,32.232672,-110.950815,26712,NULL,12467,36366,NULL,15599,56000,47300,1
Southwest University of Visual Arts-Tucson,Tucson,AZ,85716,NULL,www.suva.edu,www.suva.edu/NetPriceCalculator/,3,0,1,2,3,3,3,4,6,11,NULL,32.252879,-110.927265,35552,NULL,23069,23069,NULL,20889,32600,30200,NULL
Central Arizona College,Coolidge,AZ,85128-9030,Higher Learning Commission,www.centralaz.edu,doc.centralaz.edu/NetPriceCalculator/npcalc.htm,1,0,1,1,1,2,1,4,6,41,NULL,32.957092,-111.652501,10680,NULL,2580,11100,NULL,1504,31500,26500,1
Cochise County Community College District,Sierra Vista,AZ,85635-2317,Higher Learning Commission,https://www.cochise.edu,https://www.cochise.edu/netprice/npcalc.htm,2,0,1,1,2,2,1,4,6,13,NULL,31.564597,-110.246946,11589,NULL,2040,6240,NULL,877,34300,28500,1
Eastern Arizona College,Thatcher,AZ,85552-0769,Higher Learning Commission,www.eac.edu,eac.edu/Student_Services/Financial_Aid/Net_Price/default.shtm,1,0,1,1,1,2,1,4,6,33,NULL,32.843664,-109.76234,12647,NULL,2700,11400,NULL,869,35700,29200,1
Embry-Riddle Aeronautical University-Prescott,Prescott,AZ,86301-3720,Southern Association of Colleges and Schools Commission on Colleges,prescott.erau.edu/,prescotterau.studentaidcalculator.com/survey.aspx,3,0,0,2,3,4,2,4,6,41,NULL,34.616766,-112.449741,51036,NULL,35654,35654,NULL,26166,70300,66200,2
Glendale Community College,Glendale,AZ,85302,Higher Learning Commission,www.gccaz.edu,https://www.maricopa.edu/npc/gcc/npcalc.htm,1,0,1,1,1,2,1,4,6,21,NULL,33.570226,-112.190735,11843,NULL,2070,7854,NULL,1758,38300,34500,1
Grand Canyon University,Phoenix,AZ,85017,Higher Learning Commission,www.gcu.edu,https://www.gcu.edu/admissions/tuition-and-financing.php,3,0,1,1,3,4,3,4,6,11,NULL,33.513231,-112.129929,31248,NULL,17050,17050,NULL,11035,58500,52700,3
GateWay Community College,Phoenix,AZ,85034,Higher Learning Commission,www.gatewaycc.edu,www.gatewaycc.edu/enroll/paying-for-college,1,0,1,2,1,2,1,4,6,11,NULL,33.449686,-111.997077,12180,NULL,2070,7854,NULL,2963,39000,34100,1
Mesa Community College,Mesa,AZ,85202,Higher Learning Commission,www.mesacc.edu,www.mesacc.edu/students/net-price-calculator.html,2,0,1,1,1,2,1,4,6,11,NULL,33.390323,-111.871255,12362,NULL,2070,7854,NULL,2311,41500,36000,1
Mohave Community College,Kingman,AZ,86409-1238,Higher Learning Commission,https://www.mohave.edu,https://www.mohave.edu/assets/NetPriceCalculator1415/npcalc.htm,2,0,1,1,2,2,1,4,6,41,NULL,35.270996,-114.029838,12854,NULL,2112,6972,NULL,2075,32900,27500,1
Dine College,Tsaile,AZ,86556,Higher Learning Commission,https://www.dinecollege.edu,hooghan.dinecollege.edu/NetPriceCalculator/npcalc.htm,2,0,1,1,2,3,1,4,6,43,NULL,36.293328,-109.21684,11550,NULL,1410,1410,NULL,357,23400,21000,1
Northern Arizona University,Flagstaff,AZ,86011-4092,Higher Learning Commission,https://nau.edu/,https://www7.nau.edu/finaid/NetPriceCalculator/,3,0,1,1,3,4,1,4,6,13,NULL,35.188449,-111.653724,26748,NULL,11564,25828,NULL,7767,44600,40100,1
Northland Pioneer College,Holbrook,AZ,86025-0610,Higher Learning Commission,www.npc.edu,www.npc.edu/financial-aid-scholarships/net-price-calculator,1,0,1,1,1,2,1,4,6,41,NULL,34.93031,-110.142199,13819,NULL,1866,8610,NULL,1347,31300,25200,1
Phoenix College,Phoenix,AZ,85013,Higher Learning Commission,www.phoenixcollege.edu,www.phoenixcollege.edu/tuition-and-fees/net-price-calculators,2,0,1,1,1,2,1,4,6,11,NULL,33.481361,-112.088293,12075,NULL,2070,7854,NULL,1708,36000,31900,1
Pima Community College,Tucson,AZ,85709-1275,Higher Learning Commission,www.pima.edu,www.pima.edu/web/net-price-calculator/npc.htm,1,0,1,1,1,2,1,4,6,11,NULL,32.222125,-110.886659,8853,NULL,2142,7458,NULL,2036,35000,30900,1
Prescott College,Prescott,AZ,86301,Higher Learning Commission,https://www.prescott.edu,app.prescott.edu/net-price-calculator/,3,0,1,1,3,4,2,4,6,13,NULL,34.5452,-112.477185,41957,NULL,31485,31485,NULL,15965,34300,33200,2
Rio Salado College,Tempe,AZ,85281,Higher Learning Commission,www.rio.maricopa.edu,www.riosalado.edu/cashier/Pages/TuitionCalculator.aspx,1,0,1,1,1,2,1,4,6,12,NULL,33.413309,-111.97417,10942,NULL,2070,7854,NULL,2641,43400,39500,1
Scottsdale Community College,Scottsdale,AZ,85256,Higher Learning Commission,www.scottsdalecc.edu,https://www.scottsdalecc.edu/students/student-business-services/net-price-calculator,2,0,1,1,2,2,1,4,6,41,NULL,33.51135,-111.885186,12661,NULL,2070,7854,NULL,2426,42500,35600,1
South Mountain Community College,Phoenix,AZ,85042,Higher Learning Commission,www.southmountaincc.edu,www.southmountaincc.edu/disclosures/,2,0,1,1,2,2,1,4,6,11,NULL,33.382406,-112.032635,11975,NULL,2070,7854,NULL,1289,33400,30200,1
Arizona Christian University,Glendale,AZ,85306-3216,Higher Learning Commission,www.arizonachristian.edu,arizonachristian.edu/admissions/financial-aid/calculator,3,0,1,1,3,3,2,4,6,21,NULL,33.622952,-112.181776,37562,NULL,26796,26796,NULL,11155,34900,32200,2
Yavapai College,Prescott,AZ,86301,Higher Learning Commission,www.YC.EDU,www.yc.edu/webtools/forms/netpricecalc/,1,0,1,1,1,2,1,4,6,13,NULL,34.547495,-112.453395,11961,NULL,2360,8998,NULL,2234,34000,28800,1
University of Arkansas at Little Rock,Little Rock,AR,72204,Higher Learning Commission,ualr.edu/www/,ualr.edu/finaid/npc/npcalc.htm,3,0,1,1,3,4,1,5,5,12,NULL,34.723254,-92.339778,21301,NULL,9544,21754,NULL,5354,39500,34900,1
Arkansas Baptist College,Little Rock,AR,72202-6068,Higher Learning Commission,www.arkansasbaptist.edu,www.arkansasbaptist.edu/financial-aid/net-price-calculator/,2,1,1,1,2,3,2,5,5,12,NULL,34.734751,-92.290555,22502,NULL,8760,8760,NULL,8924,25100,21800,2
Lyon College,Batesville,AR,72501,Higher Learning Commission,www.lyon.edu,https://my.lyon.edu/ICS/Portal_Homepage.jnz?portlet=External_Content,3,0,1,1,3,3,2,5,5,33,NULL,35.777619,-91.625354,38173,NULL,28790,28790,NULL,9961,44800,38600,2
University of Arkansas,Fayetteville,AR,72701,Higher Learning Commission,https://www.uark.edu,https://finaid.uark.edu/aid-calculator.php,3,0,1,1,3,4,1,5,5,13,NULL,36.070009,-94.176981,22750,NULL,9130,25168,NULL,9627,52700,44900,1
University of Arkansas at Pine Bluff,Pine Bluff,AR,71601,Higher Learning Commission,www.uapb.edu,www.uapb.edu/admissions/net_price_calculator.aspx,3,0,1,1,3,4,1,5,5,13,NULL,34.244031,-92.018683,17689,NULL,8038,14398,NULL,4113,30600,27200,1
Arkansas State University-Beebe,Beebe,AR,72012-1000,Higher Learning Commission,www.asub.edu,www.asub.edu/financial-aid/1718-files/npcalc.htm,1,0,1,1,1,2,1,5,5,31,NULL,35.074176,-91.895351,12491,NULL,2880,4608,NULL,2236,32900,29400,1
Arkansas State University-Main Campus,Jonesboro,AR,72401,Higher Learning Commission,www.astate.edu/,www.astate.edu/a/finaid/tuition-fees/net-price-calculator/index.dot,3,0,1,1,3,4,1,5,5,13,NULL,35.842388,-90.679988,21375,NULL,8607,15297,NULL,4037,36600,32200,1
Arkansas Tech University,Russellville,AR,72801-2222,Higher Learning Commission,www.atu.edu,www.atu.edu/finaid/npcalc.htm,3,0,1,1,3,4,1,5,5,33,NULL,35.293237,-93.13562,18627,NULL,7254,12678,NULL,4725,38600,34100,1
University of Arkansas at Monticello,Monticello,AR,71656,Higher Learning Commission,www.uamont.edu/,uam-web2.uamont.edu/netprice/npcalc.htm,1,0,1,1,1,4,1,5,5,33,NULL,33.590909,-91.811153,17653,NULL,7462,13312,NULL,4182,35800,31500,1
Baptist Health College Little Rock,Little Rock,AR,72210-2827,Accrediting Bureau of Health Education Schools,https://www.bhclr.edu,https://www.bhclr.edu/student-services/accounts/netprice/npcalc.htm,2,0,1,1,2,2,2,5,5,12,NULL,34.713115,-92.40692,24473,NULL,10439,10439,NULL,4647,48100,47200,2
Black River Technical College,Pocahontas,AR,72455,Higher Learning Commission,www.blackrivertech.edu,www.blackrivertech.org/financial-aid/net-price-calculator,1,0,1,1,1,2,1,5,5,41,NULL,36.239793,-90.951033,12045,NULL,3168,5448,NULL,2408,29100,26100,1
University of Central Arkansas,Conway,AR,72035-0001,Higher Learning Commission,www.uca.edu,uca.edu/financialaid/financial-aid-net-price-calculator/,3,0,1,1,3,4,1,5,5,13,NULL,35.077945,-92.457672,21350,NULL,8752,15275,NULL,5495,42500,38300,1
Central Baptist College,Conway,AR,72034,Higher Learning Commission,www.cbc.edu,www.cbc.edu/financial_aid/net_price_calculator.aspx,3,0,1,1,3,3,2,5,5,13,NULL,35.083838,-92.445021,25303,NULL,16200,16200,NULL,9880,43000,35300,2
Cossatot Community College of the University of Arkansas,De Queen,AR,71832,Higher Learning Commission,www.cccua.edu/,www.cccua.edu/pay-for-college/net-price-calculator,1,0,1,1,1,2,1,5,5,41,NULL,34.043389,-94.3673,10512,NULL,3450,4290,NULL,2267,28000,23100,1
Crowley's Ridge College,Paragould,AR,72450,Higher Learning Commission,www.crc.edu/,crc.edu//financial_aid/netpricecalculator/netpricecalculator.html,3,0,1,1,3,3,2,5,5,41,NULL,36.064845,-90.584395,20912,NULL,13600,13600,NULL,7608,29600,26000,2
Crowley's Ridge Technical Institute,Forrest City,AR,72335-0925,Council on Occupational Education,www.crti.tec.ar.us,www.crti.tec.ar.us,NULL,0,1,1,1,1,1,5,5,32,NULL,35.039816,-90.767321,9219,NULL,1350,1350,NULL,447,23800,19300,1
East Arkansas Community College,Forrest City,AR,72335-2204,Higher Learning Commission,https://WWW.EACC.EDU,https://www.eacc.edu/pages?id=100,1,0,1,1,1,2,1,5,5,32,NULL,35.041655,-90.767726,10598,NULL,2880,3720,NULL,2535,26800,22700,1
National Park College,Hot Springs,AR,71913,Higher Learning Commission,www.np.edu,https://np.edu/admissions/financial-aid/consumer-disclosures/index.html,2,0,1,1,1,2,1,5,5,23,NULL,34.512687,-93.119248,13072,NULL,3750,5300,NULL,2355,28100,25100,1
